#{"t_start": 1719428360.2788086, "env_id": "None"}
r,l,t
-106.0,2,4.767038
-36.365211,11,19.944998
-106.0,2,23.866344
-106.0,2,27.935426
-163.0,12,44.654995
5676.725044,144,227.147713
-748.335464,142,410.035663
1233.282623,143,593.659775
-53.38047,10,607.905718
-57.38047,9,621.155787
-520.0,126,783.240104
-52.37532,9,797.921793
-52.38295,9,811.0944
-59.38047,9,824.424917
-54.382568,6,833.4855
-92.378944,25,867.350126
-73.382568,11,883.12924
-62.378944,10,897.527883
-82.382568,13,915.277665
-85.378944,29,953.831394
-52.383141,9,968.442166
-52.383141,9,981.672228
-109.0,3,987.046869
-57.383141,9,1000.604244
-52.531723,9,1014.006273
-58.376846,10,1028.755213
-52.382568,9,1042.003041
-67.090576,21,1070.10435
-154.0,18,1094.115787
-93.464371,3,1099.516026
-310.415016,72,1192.511382
-313.0,69,1283.407604
2203.360535,53,1352.818235
-496.0,131,1521.411031
-7.290825,9,1534.834224
-142.0,13,1553.901895
-127.39785,11,1569.381503
-130.0,10,1583.255745
276.365112,12,1599.648781
-96.573685,2,1603.755953
-454.0,117,1752.791989
-231.447586,45,1810.955914
-208.328613,38,1860.770365
-421.0,107,2009.758227
-423.332237,136,2202.76885
2758.526283,65,2301.84784
-265.332619,57,2382.819657
-96.574638,2,2397.018551
-127.895073,13,2419.407306
-7.290062,9,2436.853643
649.414703,20,2467.967122
-96.574638,2,2475.830638
-163.16687,21,2508.010728
-96.574638,2,2515.628725
-93.46933,3,2531.320756
323.506447,13,2553.710408
-399.305153,136,2739.43008
-133.0,11,2766.278849
-133.369049,12,2786.871467
-199.16172,35,2831.835868
-96.665596,4,2838.50483
-112.470116,8,2854.295297
-130.0,10,2872.521317
-301.0,62,2964.328431
-127.385452,11,2979.390434
-47.270035,4,2985.918776
-412.579407,103,3122.697957
55.755333,12,3148.522472
-96.557091,2,3155.12334
-96.574638,2,3161.823691
-93.442818,3,3170.359499
-96.558998,2,3176.988228
-145.262619,17,3203.427326
-420.462677,141,3387.403963
-211.328232,37,3435.85553
-220.456573,44,3496.020591
-429.260712,138,3680.299638
-454.541855,113,3827.918556
-51.0,13,3858.474983
-53.467995,12,3879.770693
-59.0,9,3896.250797
-93.452927,3,3901.586674
-495.398613,142,4083.224391
-96.573494,2,4088.49295
-721.0,114,4232.944178
-280.641777,63,4317.610398
-169.332237,22,4357.481504
-160.0,20,4383.707152
-352.385452,83,4496.252043
-145.481178,19,4532.854831
-59.0,9,4551.265865
269.671387,12,4568.104719
-102.469711,5,4576.079007
-59.0,9,4589.11334
-414.505615,136,4771.594594
-96.568535,2,4786.604476
6098.08342,134,4971.907451
-408.0,134,5163.876284
-93.487831,3,5180.260269
-355.59066,83,5292.447897
-59.0,9,5306.390285
-178.271202,27,5353.573644
-235.0,45,5419.098042
-96.574638,2,5426.696774
-214.0,38,5482.245502
-169.271965,23,5524.255269
-136.0,11,5543.909783
-61.0,32,5592.39577
-520.0,139,5776.541139
-59.0,9,5800.831989
-58.0,16,5827.913342
-124.0,8,5843.48579
-93.50042,3,5852.379152
-343.16687,80,5964.584929
-49.860909,4,5981.403308
-118.0,5,5992.931562
-253.0,50,6065.203422
-517.0,133,6247.956129
1.714134,16,6282.109183
-93.501183,3,6291.162709
-93.522354,3,6298.852172
3137.156281,73,6392.182576
-322.386978,73,6487.438563
-59.0,9,6500.824116
-93.485161,3,6506.167104
-130.539948,12,6522.744176
-8.304367,11,6539.32929
-391.0,95,6666.655689
-93.489548,3,6682.048682
-436.0,106,6830.314604
-325.519135,74,6927.96403
-411.332237,136,7120.164403
-59.0,9,7144.313385
-405.457146,135,7329.79303
-130.0,10,7354.535092
-271.0,56,7435.092073
-163.0,20,7466.446259
-451.0,111,7626.824894
-53.452736,12,7654.778212
-238.505974,49,7724.500172
-376.0,91,7853.492301
-229.0,39,7916.765741
-373.332619,88,8037.346134
-5.590065,6,8046.511255
-420.398422,141,8228.325243
-394.0,94,8351.762722
-253.0,45,8411.158388
-59.0,9,8424.557196
-106.385452,4,8432.375771
-96.793221,2,8436.3662
-441.334526,143,8618.213075
-96.560524,2,8622.21371
-456.711586,142,8803.780209
-17.296356,11,8819.583473
134.725006,8,8832.465778
39.438713,7,8843.170418
-79.0,13,8861.55892
-453.38488,142,9043.44352
-96.567963,2,9048.87319
-358.329567,85,9158.627442
-93.425079,3,9164.120339
-432.0,143,9346.691674
-96.793221,2,9351.879688
-93.44873,3,9357.148487
-414.94886,143,9539.728801
-435.398422,142,9722.812967
1.456543,7,9734.573697
28.442146,9,9747.401379
-444.0,142,9929.899932
-95.955467,5,9937.971151
24.72081,30,9978.377846
