#{"t_start": 1719509990.1922336, "env_id": "None"}
r,l,t
45.1875,3,6.644664
-128.273438,9,20.679704
-105.140625,2,25.280073
-111.570312,3,31.165403
-114.953125,4,38.440989
-116.867188,9,52.186373
44.421875,4,59.373526
-112.078125,3,65.329211
-107.0,8,77.562796
-107.0,8,89.662504
-116.828125,9,100.082232
-127.21875,9,108.498545
-119.296875,11,119.680784
-115.828125,8,132.834276
-100.0,1,136.092855
-111.0,12,153.171261
-116.21875,8,165.289176
-109.0,10,180.5133
-118.257812,10,199.33508
-116.195312,12,221.065794
-117.21875,9,238.647002
-118.257812,10,257.243676
-109.0,10,280.964197
-104.75,2,288.253963
-112.78125,3,296.651766
-26.304688,15,322.415666
-130.828125,23,360.222287
-104.945312,2,368.189681
-130.867188,23,406.145368
-126.140625,23,449.429647
-198.65625,42,509.165248
-128.0,29,547.965125
-105.140625,2,553.648941
-153.0,49,617.0373
-131.828125,29,654.512357
-149.109375,33,703.897341
-133.601562,23,747.046318
-35.875,15,773.169543
-104.945312,2,780.561246
27.0,24,820.513305
-36.40625,16,847.940987
-103.0,4,859.485856
-100.0,1,862.719091
-152.4375,35,907.878731
-282.1875,151,1105.667398
-100.0,1,1110.151797
-117.21875,9,1123.417115
-116.90625,9,1136.667061
-33.820312,14,1160.986606
-124.1875,23,1197.778021
