#{"t_start": 1719475663.2542028, "env_id": "None"}
r,l,t
-103.0,4,8.102031
-50.34375,34,50.808928
851.953125,16,72.516675
-106.0,7,83.690784
-144.65625,23,113.081415
-179.773438,78,210.752824
1074.65625,59,284.416637
1513.476562,61,361.839173
1255.671875,54,429.3783
1563.546875,18,454.87755
1160.992188,47,513.841728
1275.1875,13,532.241101
1406.242188,83,634.671262
1120.601562,37,682.986036
2817.1875,46,741.209204
2524.554688,35,1171.403515
2233.578125,45,1835.402612
3292.867188,57,2684.402535
1032.4375,47,3369.403022
1943.625,38,3928.40274
10746.59375,138,5094.092222
10931.742188,160,5290.060428
5385.414062,160,6256.402734
3343.773438,75,7379.403354
8637.570312,188,10222.403571
1650.367188,22,10564.402555
2164.421875,44,11215.403505
6146.0,205,14124.403007
1124.789062,25,14490.403452
-104.0,5,14571.402243
2809.960938,81,15766.40277
2308.070312,25,16144.403309
658.21875,32,16627.403038
1984.28125,45,17292.403396
638.5,65,18246.403255
1315.453125,15,18477.403219
1179.703125,142,20637.403084
1638.0,13,20839.402967
3858.710938,41,21458.402726
1954.46875,17,21724.403534
1451.351562,20,22032.402689
1479.132812,13,22237.403335
5335.054688,82,23444.403977
3175.851562,33,23920.403437
1565.78125,16,24155.402619
1760.804688,20,24447.402806
2333.0,18,24710.403508
3078.109375,45,25354.403732
1982.96875,16,25587.403245
1833.890625,15,25817.402779
1887.742188,24,26171.403379
2174.0,17,26423.403663
2505.304688,28,26830.403645
5287.0,44,27466.404501
2609.0,22,27782.4036
